row_index,unitid,source,raw_title,title_kind,is_program_title,bucket,canonical_title,program_conf,program_conf_reason
14,164988,crawl,Minor in African American and Black Diaspora Studies,program,1,black,Minor in African American and Black Diaspora Studies,70,strong_token|bucket_match:black
14,164988,crawl,Minor in African Languages and Literatures,program,1,african,Minor in African Languages and Literatures,70,strong_token|bucket_match:african
14,164988,crawl,Minor in African Studies,program,1,african,Minor in African Studies,100,strong_token|bare_studies_name|anchor_phrase|bucket_match:african
15,161004,crawl,Africana Studies,program,1,africana,Africana Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
15,161004,crawl,Africana Studies Becomes a Department,department_unit,0,africana,Africana Studies Becomes a Department,90,strong_token|anchor_phrase|bucket_match:africana
15,161004,crawl,Africana Studies Home,other_nonprogram,0,africana,Africana Studies,30,anchor_phrase|bucket_match:africana
15,161004,crawl,Middle Eastern and North African Studies,program,1,mena,Middle Eastern and North African Studies,100,bare_studies_name|anchor_phrase|compound_anchor|bucket_match:mena
15,161004,crawl,Sarah Munoru '23 Reads into the Role of Race in Greco-Roman Antiquity,event_news,0,race,Sarah Munoru '23 Reads into the Role of Race in Greco-Roman Antiquity,0,bucket_match:race|story_marker
15,161004,crawl,View Africana Studies,junk,0,africana,Africana Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
15,161004,crawl,View Middle Eastern and North African Studies,junk,0,mena,Middle Eastern and North African Studies,70,anchor_phrase|compound_anchor|bucket_match:mena
15,161004,cv,African Studies,program,1,african,African Studies,100,bare_studies_name|anchor_phrase|bucket_match:african|cv_bonus
15,161004,cv,"Ethnic, Cultural Minority, and Gender Studies, Other",program,1,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
16,201441,crawl,Ethnic Studies,program,1,ethnic,Ethnic Studies,90,bare_studies_name|anchor_phrase|bucket_match:ethnic
16,201441,cv,African Studies,program,1,african,African Studies,100,bare_studies_name|anchor_phrase|bucket_match:african|cv_bonus
16,201441,cv,"Ethnic, Cultural Minority, and Gender Studies, Other",program,1,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
17,143358,crawl,African American Studies,program,1,black,African American Studies,70,bare_studies_name|bucket_match:black
18,165015,crawl,African and African American Studies,program,1,black,African and African American Studies,100,bare_studies_name|anchor_phrase|compound_anchor|bucket_match:black
18,165015,crawl,African and African American Studies Undergraduate aaas,program,1,black,African and African American Studies,70,anchor_phrase|compound_anchor|bucket_match:black
18,165015,cv,African-American/Black Studies,program,1,black,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
19,217156,crawl,Africana Studies,program,1,africana,Africana Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
19,217156,crawl,Department of Africana Studies,department_unit,0,africana,Africana Studies,100,strong_token|bare_studies_name|anchor_phrase|bucket_match:africana
19,217156,crawl,Ethnic Studies,program,1,ethnic,Ethnic Studies,90,bare_studies_name|anchor_phrase|bucket_match:ethnic
19,217156,cv,African Studies,program,1,african,African Studies,100,bare_studies_name|anchor_phrase|bucket_match:african|cv_bonus
19,217156,cv,Ethnic Studies,program,1,ethnic,Ethnic Studies,100,bare_studies_name|anchor_phrase|bucket_match:ethnic|cv_bonus
20,211273,crawl,Africana Studies,program,1,africana,Africana Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
20,211273,crawl,"Check out the Africana Studies page in Majors, Minors, and Concentrations",junk,0,africana,Africana Studies,70,anchor_phrase|compound_anchor|bucket_match:africana
20,211273,crawl,"Check out the page on Middle Eastern, Central Asian, and North African Studies",junk,0,mena,Middle Eastern and North African Studies,20,anchor_phrase|compound_anchor|bucket_match:mena|sentence_like
20,211273,crawl,"Check out the page on Middle Eastern, Central Asian, and North African Studies in Majors, Minors, and Concentrations",junk,0,mena,Middle Eastern and North African Studies,20,anchor_phrase|compound_anchor|bucket_match:mena|sentence_like
20,211273,crawl,"Middle Eastern, Central Asian, and North African Studies",program,1,mena,Middle Eastern and North African Studies,70,anchor_phrase|compound_anchor|bucket_match:mena
20,211273,crawl,"Prospective students: Check out the Africana Studies page in Majors, Minors, and Concentrations",junk,0,africana,Africana Studies,20,anchor_phrase|compound_anchor|bucket_match:africana|sentence_like
20,211273,crawl,"Prospective students: Check out the page on Middle Eastern, Central Asian, and North African Studies",junk,0,mena,Middle Eastern and North African Studies,20,anchor_phrase|compound_anchor|bucket_match:mena|sentence_like
20,211273,crawl,"Prospective students: Check out the page on Middle Eastern, Central Asian, and North African Studies in Majors, Minors, and Concentrations",junk,0,mena,Middle Eastern and North African Studies,20,anchor_phrase|compound_anchor|bucket_match:mena|sentence_like
21,211291,crawl,Academic Departments and Programs Critical Black Studies Major and Minor Requirements Faculty and Staff,junk,0,black,Black Studies,30,strong_token|anchor_phrase|bucket_match:black|admin_marker
21,211291,crawl,African Studies,program,1,african,African Studies,90,bare_studies_name|anchor_phrase|bucket_match:african
21,211291,crawl,Critical Black Studies,program,1,black,Critical Black Studies,90,bare_studies_name|anchor_phrase|bucket_match:black
21,211291,crawl,Critical Black Studies (previously Africana Studies),other_nonprogram,0,black,Critical Black Studies (previously Africana Studies),30,anchor_phrase|bucket_match:black
21,211291,crawl,Critical Black Studies Major and Minor Requirements Faculty and Staff,junk,0,black,Black Studies,30,strong_token|anchor_phrase|bucket_match:black|admin_marker
21,211291,crawl,Experience Africa with the Bucknell in Ghana Program,event_news,0,african,Experience Africa with the Bucknell in Ghana,70,strong_token|bucket_match:african
21,211291,crawl,Majors and Minors The African Studies Minor,program,1,african,African Studies,100,strong_token|anchor_phrase|compound_anchor|bucket_match:african
21,211291,crawl,Race and Ethnicity Studies,program,1,ethnic,Race and Ethnicity Studies,70,bare_studies_name|bucket_match:ethnic
21,211291,crawl,The African Studies Minor,program,1,african,African Studies,90,strong_token|anchor_phrase|bucket_match:african
22,110422,crawl,Comparative Ethnic Studies (BA),program,1,ethnic,Comparative Ethnic Studies,70,degree_token|anchor_phrase|bucket_match:ethnic
22,110422,crawl,Ethnic Studies,program,1,ethnic,Ethnic Studies,90,bare_studies_name|anchor_phrase|bucket_match:ethnic
22,110422,crawl,Ethnic Studies Minor,program,1,ethnic,Ethnic Studies,90,strong_token|anchor_phrase|bucket_match:ethnic
22,110422,crawl,"Gender, Race, Culture, Science and Technology Minor",program,1,race,"Gender, Race, Culture, Science and Technology",70,strong_token|bucket_match:race
22,110422,cv,"Ethnic, Cultural Minority, and Gender Studies, Other",program,1,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
23,115755,crawl,Comparative Ethnic Studies Minor Minor,program,1,ethnic,Comparative Ethnic Studies Minor,90,strong_token|anchor_phrase|bucket_match:ethnic
23,115755,crawl,"Critical Race, Gender and Sexuality Studies",program,1,race,"Critical Race, Gender and Sexuality Studies",70,bare_studies_name|bucket_match:race
23,115755,crawl,Ethnic American Literatures Minor Minor,program,1,ethnic,Ethnic American Literatures Minor,70,strong_token|bucket_match:ethnic
23,115755,crawl,Pan African Center,center_institute,0,africana,Pan African Center,10,bucket_match:africana
23,115755,cv,"Ethnic, Cultural Minority, and Gender Studies, Other",program,1,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
24,110529,cv,"Ethnic, Cultural Minority, and Gender Studies, Other",program,1,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
25,110538,crawl,African American Studies Minor,program,1,black,African American Studies,70,strong_token|bucket_match:black
25,110538,crawl,African Studies Minor,program,1,african,African Studies,90,strong_token|anchor_phrase|bucket_match:african
25,110538,crawl,"Ethnic, Gender, and Queer Studies Department",department_unit,0,ethnic,"Ethnic, Gender, and Queer Studies Department",70,strong_token|bucket_match:ethnic
25,110538,crawl,"Race, Ethnicity, and Sovereignty GE Minor",program,1,ethnic,"Race, Ethnicity, and Sovereignty GE",70,strong_token|bucket_match:ethnic
26,110547,crawl,2025-26 Ethnic Studies Curriculum Review Calendar,junk,0,ethnic,2025-26 Ethnic Studies Curriculum Review Calendar,0,anchor_phrase|bucket_match:ethnic|admin_marker|course_like
26,110547,crawl,2025-26 University Ethnic Studies Committee Meeting Calendar,junk,0,ethnic,2025-26 University Ethnic Studies Committee Meeting Calendar,30,anchor_phrase|bucket_match:ethnic
26,110547,crawl,Africana Studies,program,1,africana,Africana Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
26,110547,crawl,Bwesigye Bwa-Mwesigire - Africana Studies,other_nonprogram,0,africana,Bwesigye Bwa-Mwesigire - Africana Studies,30,bare_studies_name|anchor_phrase|bucket_match:africana|profile_dash
26,110547,crawl,Certificate in Six Sigma Black Belt (Old Version),junk,0,,,60,strong_token
26,110547,crawl,Lean Six Sigma Black Belt (live online),junk,0,,,0,
26,110547,crawl,Lean Six Sigma Black Belt Certificate,junk,0,,,60,strong_token
26,110547,crawl,Meryah Fisher - Africana Studies,other_nonprogram,0,africana,Meryah Fisher - Africana Studies,30,bare_studies_name|anchor_phrase|bucket_match:africana|profile_dash
26,110547,crawl,Note: This program has been updated! Please visit the new Lean Six Sigma Black Belt Certificate site.,junk,0,,,60,strong_token
26,110547,crawl,Six Sigma Black Belt Certificate (asynchronous online),junk,0,,,60,strong_token
26,110547,crawl,University Ethnic Studies Committee (UESC),committee_admin,0,ethnic,University Ethnic Studies Committee,30,anchor_phrase|bucket_match:ethnic
26,110547,crawl,Welcome to Africana Studies,junk,0,africana,Africana Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
27,110574,crawl,Ethnic Studies,program,1,ethnic,Ethnic Studies,90,bare_studies_name|anchor_phrase|bucket_match:ethnic
29,110565,crawl,African American Studies,program,1,black,African American Studies,70,bare_studies_name|bucket_match:black
29,110565,crawl,BA African American Studies catalog,other_nonprogram,0,black,BA African American Studies catalog,0,degree_token|bucket_match:black|admin_marker
29,110565,crawl,BA African American Studies website,maybe_program,0,black,BA African American Studies website,50,degree_token|bucket_match:black
29,110565,cv,"Ethnic, Cultural Minority, and Gender Studies, Other",program,1,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
30,110583,crawl,Africana Studies,program,1,africana,Africana Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
31,110592,crawl,Department of Pan-African Studies,department_unit,0,africana,Pan-African Studies,100,strong_token|bare_studies_name|anchor_phrase|bucket_match:africana
31,110592,cv,African-American/Black Studies,program,1,black,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
31,110592,cv,"Ethnic, Cultural Minority, and Gender Studies, Other",program,1,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
32,110608,crawl,"Africa, Interdisciplinary Studies",program,1,african,"Africa, Interdisciplinary Studies",70,bare_studies_name|bucket_match:african
32,110608,crawl,Africana Studies,program,1,africana,Africana Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
32,110608,cv,African-American/Black Studies,program,1,black,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
32,110608,cv,"Ethnic, Cultural Minority, and Gender Studies, Other",program,1,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
33,110617,crawl,About Ethnic Studies,junk,0,ethnic,Ethnic Studies,90,bare_studies_name|anchor_phrase|bucket_match:ethnic
33,110617,crawl,African American Studies,program,1,black,African American Studies,70,bare_studies_name|bucket_match:black
33,110617,crawl,African American Studies Research Guide,other_nonprogram,0,black,African American Studies Research Guide,0,bucket_match:black|admin_marker
33,110617,crawl,African Studies,program,1,african,African Studies,90,bare_studies_name|anchor_phrase|bucket_match:african
33,110617,crawl,BA in Ethnic Studies (Asian American Studies),program,1,ethnic,Ethnic Studies (Asian American Studies),100,degree_token|degree_phrase|anchor_phrase|bucket_match:ethnic
33,110617,crawl,BA in Ethnic Studies (Chicanx/​Latinx Studies),program,1,ethnic,Ethnic Studies (Chicanx/​Latinx Studies),100,degree_token|degree_phrase|anchor_phrase|bucket_match:ethnic
33,110617,crawl,BA in Ethnic Studies (General),program,1,ethnic,Ethnic Studies,100,degree_token|degree_phrase|anchor_phrase|bucket_match:ethnic
33,110617,crawl,BA in Ethnic Studies (Native-​American Studies),program,1,ethnic,Ethnic Studies (Native-​American Studies),100,degree_token|degree_phrase|anchor_phrase|bucket_match:ethnic
33,110617,crawl,BA in Ethnic Studies (Pan African Studies),program,1,africana,Ethnic Studies (Pan African Studies),100,degree_token|degree_phrase|anchor_phrase|bucket_match:africana
33,110617,crawl,BA in Ethnic Studies (Teachers in Bilingual Education),program,1,ethnic,Ethnic Studies,100,degree_token|degree_phrase|anchor_phrase|bucket_match:ethnic
33,110617,crawl,BA in Ethnic Studies (Teachers in Urban Settings),program,1,ethnic,Ethnic Studies,100,degree_token|degree_phrase|anchor_phrase|bucket_match:ethnic
33,110617,crawl,Certificate in African Studies,program,1,african,Certificate in African Studies,100,strong_token|bare_studies_name|anchor_phrase|bucket_match:african
33,110617,crawl,Certificate in Pan African Studies,program,1,africana,Certificate in Pan African Studies,100,strong_token|bare_studies_name|anchor_phrase|bucket_match:africana
33,110617,crawl,Connect with Ethnic Studies,junk,0,ethnic,Connect with Ethnic Studies,90,bare_studies_name|anchor_phrase|bucket_match:ethnic
33,110617,crawl,Ethnic Studies,program,1,ethnic,Ethnic Studies,90,bare_studies_name|anchor_phrase|bucket_match:ethnic
33,110617,crawl,Ethnic Studies (ETHN),other_nonprogram,0,ethnic,Ethnic Studies,30,anchor_phrase|bucket_match:ethnic
33,110617,crawl,Ethnic Studies 4-Year Plan,course,0,ethnic,Ethnic Studies 4-Year Plan,0,anchor_phrase|bucket_match:ethnic|admin_marker|course_like
33,110617,crawl,Ethnic Studies College of Social Sciences and Interdisciplinary Studies,program,1,ethnic,Ethnic Studies,70,anchor_phrase|compound_anchor|bucket_match:ethnic
33,110617,crawl,Ethnic Studies Database,other_nonprogram,0,ethnic,Ethnic Studies Database,30,anchor_phrase|bucket_match:ethnic
33,110617,crawl,Ethnic Studies Programs,other_nonprogram,0,ethnic,Ethnic Studies Programs,30,anchor_phrase|bucket_match:ethnic
33,110617,crawl,Ethnic Studies Transfer Plan,course,0,ethnic,Ethnic Studies Transfer Plan,0,anchor_phrase|bucket_match:ethnic|admin_marker|course_like
33,110617,crawl,General Ethnic Studies,program,1,ethnic,General Ethnic Studies,90,bare_studies_name|anchor_phrase|bucket_match:ethnic
33,110617,crawl,"MA in Education, Equity and Social Justice (Ethnicity and Race)",program,1,ethnic,"Education, Equity and Social Justice (Ethnicity and Race)",100,degree_token|degree_phrase|bucket_match:ethnic
33,110617,crawl,MA in Ethnic Studies,program,1,ethnic,Ethnic Studies,100,degree_token|degree_phrase|bare_studies_name|anchor_phrase|bucket_match:ethnic
33,110617,crawl,Master of Arts in Ethnic Studies,program,1,ethnic,Ethnic Studies,100,degree_phrase|bare_studies_name|anchor_phrase|bucket_match:ethnic
33,110617,crawl,Minor in African Studies,program,1,african,Minor in African Studies,100,strong_token|bare_studies_name|anchor_phrase|bucket_match:african
33,110617,crawl,Minor in Ethnic Studies,program,1,ethnic,Minor in Ethnic Studies,100,strong_token|bare_studies_name|anchor_phrase|bucket_match:ethnic
33,110617,crawl,Minor in Pan African Studies,program,1,africana,Minor in Pan African Studies,100,strong_token|bare_studies_name|anchor_phrase|bucket_match:africana
33,110617,crawl,Pan African Studies,program,1,africana,Pan African Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
33,110617,crawl,Upcoming Ethnic Studies Events,junk,0,ethnic,Upcoming Ethnic Studies Events,30,anchor_phrase|bucket_match:ethnic
35,110495,crawl,Ethnic Studies,program,1,ethnic,Ethnic Studies,90,bare_studies_name|anchor_phrase|bucket_match:ethnic
35,110495,crawl,"Ethnic Studies is offered as a major, minor, and concentration.",program,1,ethnic,Ethnic Studies,100,strong_token|anchor_phrase|compound_anchor|bucket_match:ethnic
35,110495,crawl,Meet the Ethnic Studies faculty,junk,0,ethnic,Meet the Ethnic Studies faculty,30,anchor_phrase|bucket_match:ethnic
35,110495,crawl,"Students will examine the field of Ethnic Studies, including awareness of principles, concepts, theories, pedagogies, and/or methods.",other_nonprogram,0,ethnic,"Students will examine the field of Ethnic Studies, including awareness of principles, concepts, theories, pedagogies, and/or methods.",0,anchor_phrase|bucket_match:ethnic|sentence_like
36,169080,crawl,Africana Studies Minor,program,1,africana,Africana Studies,90,strong_token|anchor_phrase|bucket_match:africana
37,173258,crawl,About Africana Studies,junk,0,africana,Africana Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
37,173258,crawl,Africana Studies,program,1,africana,Africana Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
37,173258,crawl,Africana Studies Minor,program,1,africana,Africana Studies,90,strong_token|anchor_phrase|bucket_match:africana
37,173258,crawl,Africana Studies major minor,program,1,africana,Africana Studies major,90,strong_token|anchor_phrase|bucket_match:africana
37,173258,crawl,Prerequisites: Open to students who have declared either Africana Studies Major or Africana Studies Minor.,other_nonprogram,0,africana,Prerequisites: Open to students who have declared either Africana Studies Major or Africana Studies Minor.,30,strong_token|anchor_phrase|bucket_match:africana|admin_marker
37,173258,crawl,Prerequisites: Student has the Africana Studies (AFST) Program of Study AND Senior Priority.,other_nonprogram,0,africana,Africana Studies,30,strong_token|anchor_phrase|bucket_match:africana|admin_marker
37,173258,crawl,Requirements for the Africana Studies Major,other_nonprogram,0,africana,Requirements for the Africana Studies,30,strong_token|anchor_phrase|bucket_match:africana|admin_marker
37,173258,crawl,Requirements for the Africana Studies Minor,other_nonprogram,0,africana,Requirements for the Africana Studies,30,strong_token|anchor_phrase|bucket_match:africana|admin_marker
37,173258,cv,"Ethnic, Cultural Minority, and Gender Studies, Other",program,1,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
39,128771,crawl,African Studies,program,1,african,African Studies,90,bare_studies_name|anchor_phrase|bucket_match:african
39,128771,crawl,"African Studies, Minor",program,1,african,African Studies,90,strong_token|anchor_phrase|bucket_match:african
39,128771,crawl,African-American Studies,program,1,black,African-American Studies,70,bare_studies_name|bucket_match:black
39,128771,crawl,"African-American Studies, Minor",program,1,black,African-American Studies,70,strong_token|bucket_match:black
39,128771,crawl,Concentration in African Studies,program,1,african,Concentration in African Studies,100,strong_token|bare_studies_name|anchor_phrase|bucket_match:african
39,128771,crawl,Racial Justice Certificate,program,1,race,Racial Justice Certificate,70,strong_token|bucket_match:race
42,217864,crawl,Minor in African American Studies,program,1,black,Minor in African American Studies,100,strong_token|bare_studies_name|bucket_match:black
43,138947,crawl,African American Studies,program,1,black,African American Studies,70,bare_studies_name|bucket_match:black
43,138947,crawl,"African American Studies, Africana Women's Studies, and History",other_nonprogram,0,black,"African American Studies, Africana Women's Studies, and History",10,bucket_match:black
43,138947,crawl,Africana Women's Studies,program,1,africana,Africana Women's Studies,70,bare_studies_name|bucket_match:africana
44,217882,cv,African-American/Black Studies,program,1,black,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
45,202134,cv,African-American/Black Studies,program,1,black,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
46,153144,crawl,African American Studies,program,1,black,African American Studies,70,bare_studies_name|bucket_match:black
46,153144,crawl,Why African American Studies at Coe College?,other_nonprogram,0,black,Why African American Studies at Coe College?,0,bucket_match:black|story_marker
48,190099,crawl,Africana And Latin American Studies Program,program,1,africana,Africana And Latin American Studies,70,strong_token|bucket_match:africana
48,190099,crawl,Africana and Latin American Studies,program,1,africana,Africana and Latin American Studies,70,bare_studies_name|bucket_match:africana
48,190099,crawl,Africana and Latin American Studies Major,program,1,africana,Africana and Latin American Studies,70,strong_token|bucket_match:africana
48,190099,crawl,Africana and Latin American Studies Minor,program,1,africana,Africana and Latin American Studies,70,strong_token|bucket_match:africana
48,190099,crawl,Africana and Latin American Studies Newsletter: The Point,junk,0,africana,Africana and Latin American Studies Newsletter: The Point,10,bucket_match:africana
48,190099,crawl,Africana and Latin American Studies Program in the Division of University Studies Go to program,committee_admin,0,africana,Africana and Latin American Studies Program in the Division of University Studies Go to,70,strong_token|bucket_match:africana
49,190558,crawl,African and African Diaspora Studies,program,1,african,African and African Diaspora Studies,70,bare_studies_name|bucket_match:african
49,190558,crawl,Bachelor of Arts in African and African Diaspora Studies,program,1,african,African and African Diaspora Studies,70,degree_phrase|bucket_match:african
50,126678,crawl,African Studies,program,1,african,African Studies,90,bare_studies_name|anchor_phrase|bucket_match:african
50,126678,crawl,African-American Studies,program,1,black,African-American Studies,70,bare_studies_name|bucket_match:black
50,126678,crawl,"Race, Ethnicity, and Migration Studies",program,1,ethnic,"Race, Ethnicity, and Migration Studies",70,bare_studies_name|bucket_match:ethnic
50,126678,cv,Ethnic Studies,program,1,ethnic,Ethnic Studies,100,bare_studies_name|anchor_phrase|bucket_match:ethnic|cv_bonus
51,126818,crawl,Ethnic Studies,program,1,ethnic,Ethnic Studies,90,bare_studies_name|anchor_phrase|bucket_match:ethnic
51,126818,crawl,Ethnic Studies (ETST),other_nonprogram,0,ethnic,Ethnic Studies,30,anchor_phrase|bucket_match:ethnic
51,126818,crawl,"Global Race, Power, and Resistance Concentration",program,1,race,"Global Race, Power, and Resistance Concentration",70,strong_token|bucket_match:race
51,126818,crawl,"Master of Arts in Ethnic Studies, Plan A",program,1,ethnic,"Ethnic Studies, Plan A",90,degree_phrase|anchor_phrase|bucket_match:ethnic
51,126818,crawl,"Master of Arts in Ethnic Studies, Plan B",program,1,ethnic,"Ethnic Studies, Plan B",90,degree_phrase|anchor_phrase|bucket_match:ethnic
51,126818,crawl,"Race, Gender, and Ethnic Studies",program,1,ethnic,Ethnic Studies,100,bare_studies_name|anchor_phrase|compound_anchor|bucket_match:ethnic
51,126818,cv,"Ethnic, Cultural Minority, and Gender Studies, Other",program,1,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
53,153162,cv,"Ethnic, Cultural Minority, and Gender Studies, Other",program,1,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
